2021-04-25 15:29:26: == Sync Started by User Command
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/78/785223a5fb6f112f82caed48aba9f6d8
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/79/799114f519653b655adee8bbcb755367
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/79/79e3d1676431eb662d9977cbfa3e786c
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/7a/7a5ae5dd791c2ad8e80fa172201a6b0c
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/7b/7be17f37f4577edbad20584575afa662
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/7c/7c73c1876b39951dc77764bbbe8bcd61
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/7d/7ddcafec6b643e762db48e20ade061e1
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/7e/7e633e864798831ffdc776ee1fc0f696
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/80/801739f743a74a4f60df4ed46aef7344
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/83/8391dd381b0168b6bb693ac6895e6885
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/83/83c41e199b30fac71ca1f96d91417029
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/83/83d5218ccc87884b7d4a8045540f73c0
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/84/84811e5a5342e876c13ca9e5d48124bd
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/84/848af4aab331b157dd5ce389f0fb13c9
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/88/8843a2b16e0fb39356b3c5ce6d54412b
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/89/8963c271f775326e53e5ea14d9a00a94
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8c/8c404fe2a6f0523270f1916f6b791de3
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8c/8ca31f20233d9be77001a961c4b3b745
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8d/8d254661eb9436409a4f095cef71f3d8
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8e/8e7c571ada9824aee9691ad076d73e8c
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8f/8f8b4cad103e2491b515bdc5bb330eab
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8f/8f8df4c95386f54604e82c0149242cae
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/8f/8f8ebfb36b73845058071795a5a293d1
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/90/9039ad6d4b5e1ff6bd5ec7abfeb4781f
